Codigo;Descripción;Producto;Des. Producto;Des. Familia
1102K03NL0;FS-C8025MFP;1T02K00NL0;TK-895K;CONSUMIBLES B/N
1102K03NL0;FS-C8025MFP;1T02K0ANL0;TK-895Y;CONSUMIBLES COLOR
1102K03NL0;FS-C8025MFP;1T02K0BNL0;TK-895M;CONSUMIBLES COLOR
1102K03NL0;FS-C8025MFP;1T02K0CNL0;TK-895C;CONSUMIBLES COLOR
1102K33NL0;FS-6030MFP;1T02K30NL0;TK-475;CONSUMIBLES B/N
1102K53NL0;TASKalfa 300i;1T02K50NL0;TK-685;CONSUMIBLES B/N
1102K83NL0;FS-C5350DN;1T02HN0EU0;TK-560K;CONSUMIBLES B/N
1102K83NL0;FS-C5350DN;1T02HNAEU0;TK-560Y;CONSUMIBLES COLOR
1102K83NL0;FS-C5350DN;1T02HNBEU0;TK-560M;CONSUMIBLES COLOR
1102K83NL0;FS-C5350DN;1T02HNCEU0;TK-560C;CONSUMIBLES COLOR
1102K93NL0;TASKalfa 7550ci;1T02K90NL0;TK-8705K;CONSUMIBLES B/N
1102K93NL0;TASKalfa 7550ci;1T02K9ANL0;TK-8705Y;CONSUMIBLES COLOR
1102K93NL0;TASKalfa 7550ci;1T02K9BNL0;TK-8705M;CONSUMIBLES COLOR
1102K93NL0;TASKalfa 7550ci;1T02K9CNL0;TK-8705C;CONSUMIBLES COLOR
1102KA3NL0;FS-C8500DN;1T02KA0NL0;TK-880K;CONSUMIBLES B/N
1102KA3NL0;FS-C8500DN;1T02KAANL0;TK-880Y;CONSUMIBLES COLOR
1102KA3NL0;FS-C8500DN;1T02KABNL0;TK-880M;CONSUMIBLES COLOR
1102KA3NL0;FS-C8500DN;1T02KACNL0;TK-880C;CONSUMIBLES COLOR
1102KH3NL0;TASKalfa 221;1T02KH0NL0;TK-435;CONSUMIBLES B/N
1102KJ3NL0;TASKalfa 181;1T02KH0NL0;TK-435;CONSUMIBLES B/N
1102KK3NL0;TASKalfa 220;1T02KH0NL0;TK-435;CONSUMIBLES B/N
1102KL3NL0;TASKalfa 180;1T02KH0NL0;TK-435;CONSUMIBLES B/N
1102KT3NL0;FS-C5150DN;1T02KT0NL0;TK-580K;CONSUMIBLES B/N
1102KT3NL0;FS-C5150DN;1T02KTANL0;TK-580Y;CONSUMIBLES COLOR
1102KT3NL0;FS-C5150DN;1T02KTBNL0;TK-580M;CONSUMIBLES COLOR
1102KT3NL0;FS-C5150DN;1T02KTCNL0;TK-580C;CONSUMIBLES COLOR
1102KV3NL0;FS-C5250DN;1T02KV0NL0;TK-590K;CONSUMIBLES B/N
1102KV3NL0;FS-C5250DN;1T02KVANL0;TK-590Y;CONSUMIBLES COLOR
1102KV3NL0;FS-C5250DN;1T02KVBNL0;TK-590M;CONSUMIBLES COLOR
1102KV3NL0;FS-C5250DN;1T02KVCNL0;TK-590C;CONSUMIBLES COLOR
1102KZ3NL0;FS-C8020MFP;1T02K00NL0;TK-895K;CONSUMIBLES B/N
1102KZ3NL0;FS-C8020MFP;1T02K0ANL0;TK-895Y;CONSUMIBLES COLOR
1102KZ3NL0;FS-C8020MFP;1T02K0BNL0;TK-895M;CONSUMIBLES COLOR
1102KZ3NL0;FS-C8020MFP;1T02K0CNL0;TK-895C;CONSUMIBLES COLOR
1102L03NL0;FS-1370DN;1T02LZ0NL0;TK-170;CONSUMIBLES B/N
1102L13NL0;FS-4200DN;1T02LV0NL0;TK-3130;CONSUMIBLES B/N
1102L23NL1;FS-2100D;1T02MS0NL0;TK-3100;CONSUMIBLES B/N
1102L33NL0;FS-6025MFP;1T02K30NL0;TK-475;CONSUMIBLES B/N
1102L33NL1;FS-6025MFP/B;1T02K30NL0;TK-475;CONSUMIBLES B/N
1102L63NL0;TASKALFA 3051ci;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102L63NL0;TASKALFA 3051ci;1T02LK0NL0;TK-8305K;CONSUMIBLES B/N
1102L63NL0;TASKALFA 3051ci;1T02LK0NLC;TK-8305K;CONSUMIBLES B/N
1102L63NL0;TASKALFA 3051ci;1T02LKANL0;TK-8305Y;CONSUMIBLES COLOR
1102L63NL0;TASKALFA 3051ci;1T02LKBNL0;TK-8305M;CONSUMIBLES COLOR
1102L63NL0;TASKALFA 3051ci;1T02LKCNL0;TK-8305C;CONSUMIBLES COLOR
1102L73NL0;TASKALFA 2552ci;1902ND0UN0;WT-8500;CONSUMIBLES B/N
1102L73NL0;TASKALFA 2552ci;1T02L70NL0;TK-8345K;CONSUMIBLES B/N
1102L73NL0;TASKALFA 2552ci;1T02L7ANL0;TK-8345Y;CONSUMIBLES COLOR
1102L73NL0;TASKALFA 2552ci;1T02L7ANL1;TK-8345Y;CONSUMIBLES COLOR
1102L73NL0;TASKALFA 2552ci;1T02L7BNL0;TK-8345M;CONSUMIBLES COLOR
1102L73NL0;TASKALFA 2552ci;1T02L7BNL1;TK-8345M;CONSUMIBLES COLOR
1102L73NL0;TASKALFA 2552ci;1T02L7CNL0;TK-8345C;CONSUMIBLES COLOR
1102L73NL0;TASKALFA 2552ci;1T02L7CNL1;TK-8345C;CONSUMIBLES COLOR
1102LB3NL0;TASKalfa 6550ci;1T02K90NL0;TK-8705K;CONSUMIBLES B/N
1102LB3NL0;TASKalfa 6550ci;1T02K9ANL0;TK-8705Y;CONSUMIBLES COLOR
1102LB3NL0;TASKalfa 6550ci;1T02K9BNL0;TK-8705M;CONSUMIBLES COLOR
1102LB3NL0;TASKalfa 6550ci;1T02K9CNL0;TK-8705C;CONSUMIBLES COLOR
1102LC3NL0;TASKalfa 5550ci;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LC3NL0;TASKalfa 5550ci;1T02LC0NL0;TK-8505K;CONSUMIBLES B/N
1102LC3NL0;TASKalfa 5550ci;1T02LCANL0;TK-8505Y;CONSUMIBLES COLOR
1102LC3NL0;TASKalfa 5550ci;1T02LCBNL0;TK-8505M;CONSUMIBLES COLOR
1102LC3NL0;TASKalfa 5550ci;1T02LCCNL0;TK-8505C;CONSUMIBLES COLOR
1102LF3NL0;TASKALFA 8000i;1T02LF0NL0;TK-6705;CONSUMIBLES B/N
1102LG3NL0;TASKaIfa 6500i;1T02LF0NL0;TK-6705;CONSUMIBLES B/N
1102LH3NL0;TASKaIfa 5500i;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LH3NL0;TASKaIfa 5500i;1T02LH0NL0;TK-6305;CONSUMIBLES B/N
1102LH3NL0;TASKaIfa 5500i;1T02LH0NL1;TK-6305;CONSUMIBLES B/N
1102LJ3NL0;TASKaIfa 4500i;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LJ3NL0;TASKaIfa 4500i;1T02LH0NL0;TK-6305;CONSUMIBLES B/N
1102LJ3NL0;TASKaIfa 4500i;1T02LH0NL1;TK-6305;CONSUMIBLES B/N
1102LK3NL0;TASKalfa 3050ci;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LK3NL0;TASKalfa 3050ci;1T02LK0NL0;TK-8305K;CONSUMIBLES B/N
1102LK3NL0;TASKalfa 3050ci;1T02LK0NLC;TK-8305K;CONSUMIBLES B/N
1102LK3NL0;TASKalfa 3050ci;1T02LKANL0;TK-8305Y;CONSUMIBLES COLOR
1102LK3NL0;TASKalfa 3050ci;1T02LKBNL0;TK-8305M;CONSUMIBLES COLOR
1102LK3NL0;TASKalfa 3050ci;1T02LKCNL0;TK-8305C;CONSUMIBLES COLOR
1102LL3NL0;TASKALFA 3500i;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LL3NL0;TASKALFA 3500i;1T02LH0NL0;TK-6305;CONSUMIBLES B/N
1102LL3NL0;TASKALFA 3500i;1T02LH0NL1;TK-6305;CONSUMIBLES B/N
1102LM3NL0;TASKalfa 4550ci;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LM3NL0;TASKalfa 4550ci;1T02LC0NL0;TK-8505K;CONSUMIBLES B/N
1102LM3NL0;TASKalfa 4550ci;1T02LCANL0;TK-8505Y;CONSUMIBLES COLOR
1102LM3NL0;TASKalfa 4550ci;1T02LCBNL0;TK-8505M;CONSUMIBLES COLOR
1102LM3NL0;TASKalfa 4550ci;1T02LCCNL0;TK-8505C;CONSUMIBLES COLOR
1102LN3NL0;TASKalfa 3550ci;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102LN3NL0;TASKalfa 3550ci;1T02LK0NL0;TK-8305K;CONSUMIBLES B/N
1102LN3NL0;TASKalfa 3550ci;1T02LK0NLC;TK-8305K;CONSUMIBLES B/N
1102LN3NL0;TASKalfa 3550ci;1T02LKANL0;TK-8305Y;CONSUMIBLES COLOR
1102LN3NL0;TASKalfa 3550ci;1T02LKBNL0;TK-8305M;CONSUMIBLES COLOR
1102LN3NL0;TASKalfa 3550ci;1T02LKCNL0;TK-8305C;CONSUMIBLES COLOR
1102LNY3NL0;FS-1120D;1T02LY0NL0;TK-160;CONSUMIBLES B/N
1102LV3NL0;FS-4300DN;1T02LV0NL0;TK-3130;CONSUMIBLES B/N
1102LY3NL0;FS-1120D;1T02LY0NL0;TK-160;CONSUMIBLES B/N
1102LY3NL0;FS-1120D;1T02LY0NLC;TK-160;CONSUMIBLES B/N
1102LZ3NL0;FS-1320D;1T02LZ0NL0;TK-170;CONSUMIBLES B/N
1102LZ3NL0;FS-1320D;1T02LZ0NLC;TK-170;CONSUMIBLES B/N
1102M23NL0;FS-1041;1T02M50NL0;TK-1115;CONSUMIBLES B/N
1102M23NL0;FS-1041;1T02M50NL1;TK-1115;CONSUMIBLES B/N
1102M23NL1;ECOSYS FS-1041;1T02M50NLV;TK-1115;CONSUMIBLES B/N
1102M33NL0;FS-C2126MFP+;1T02KV0NL0;TK-590K;CONSUMIBLES B/N
1102M33NL0;FS-C2126MFP+;1T02KVANL0;TK-590Y;CONSUMIBLES COLOR
1102M33NL0;FS-C2126MFP+;1T02KVBNL0;TK-590M;CONSUMIBLES COLOR
1102M33NL0;FS-C2126MFP+;1T02KVCNL0;TK-590C;CONSUMIBLES COLOR
1102M33NL2;ECOSYS FS-1061DN;1T02M70NL1;TK-1125;CONSUMIBLES B/N
1102M33NL2;ECOSYS FS-1061DN;1T02M70NLV;TK-1125;CONSUMIBLES B/N
1102M43NL0;FS-1220MFP;1T02M50NLV;TK-1115;CONSUMIBLES B/N
1102M43NLV;FS-1220MFP;1T02M50NLV;TK-1115;CONSUMIBLES B/N
1102M53NL2;ECOSYS FS-1320MFP;1T02M50NL1;TK-1115;CONSUMIBLES B/N
1102M73NL0;FS-1325MFP;1T02M70NL0;TK-1125;CONSUMIBLES B/N
1102M73NL0;FS-1325MFP;1T02M70NL1;TK-1125;CONSUMIBLES B/N
1102M73NL0;FS-1325MFP;1T02M70NLV;TK-1125;CONSUMIBLES B/N
1102M83NL0;FS-C2526MFP;1T02KV0NL0;TK-590K;CONSUMIBLES B/N
1102M83NL0;FS-C2526MFP;1T02KVANL0;TK-590Y;CONSUMIBLES COLOR
1102M83NL0;FS-C2526MFP;1T02KVBNL0;TK-590M;CONSUMIBLES COLOR
1102M83NL0;FS-C2526MFP;1T02KVCNL0;TK-590C;CONSUMIBLES COLOR
1102M93NL0;FS-C2626MFP;1T02KV0NL0;TK-590K;CONSUMIBLES B/N
1102M93NL0;FS-C2626MFP;1T02KVANL0;TK-590Y;CONSUMIBLES COLOR
1102M93NL0;FS-C2626MFP;1T02KVBNL0;TK-590M;CONSUMIBLES COLOR
1102M93NL0;FS-C2626MFP;1T02KVCNL0;TK-590C;CONSUMIBLES COLOR
1102MA3NL0;FS-C2O26MFP+;1T02KV0NL0;TK-590K;CONSUMIBLES B/N
1102MA3NL0;FS-C2O26MFP+;1T02KVANL0;TK-590Y;CONSUMIBLES COLOR
1102MB3NL0;FS-C2126MFP+;1T02KV0NL0;TK-590K;CONSUMIBLES B/N
1102MB3NL0;FS-C2126MFP+;1T02KVANL0;TK-590Y;CONSUMIBLES COLOR
1102MB3NL0;FS-C2126MFP+;1T02KVBNL0;TK-590M;CONSUMIBLES COLOR
1102MB3NL0;FS-C2126MFP+;1T02KVCNL0;TK-590C;CONSUMIBLES COLOR
1102MC3NL0;FS-3540MFP;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102MC3NL0;FS-3540MFP;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
1102MD3NL0;FS-3640MFP;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102MD3NL0;FS-3640MFP;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
1102MF3NL0;FS-3040MFP+;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102MF3NL0;FS-3040MFP+;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
1102MFBNL0;FS-3040MFP+;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102MG3NL0;FS-3140MFP+;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102MG3NL0;FS-3140MFP+;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
1102MGBNL0;FS-3140MFP+;1T02LX0NL0;TK-350 B;CONSUMIBLES B/N
1102MGBNL0;FS-3140MFP+;1T02LX0NLC;TK-350 B;CONSUMIBLES B/N
1102MH3NL0;FS-1030MFP;1T02MJ0NL0;TK-1130;CONSUMIBLES B/N
1102MJ3ES0;FS-1130MFP;1T02MJ0NL0;TK-1130;CONSUMIBLES B/N
1102MK3ES0;FS-1035MFP;1T02ML0NL0;TK-1140;CONSUMIBLES B/N
1102MK3ES0;FS-1035MFP;1T02ML0NLC;TK-1140;CONSUMIBLES B/N
1102MK3ES0;FS-1035MFP;1T02ML0NLC;TK-1140;CONSUMIBLES B/N
1102ML3ES0;FS-1135MFP;1T02ML0NL0;TK-1140;CONSUMIBLES B/N
1102ML3ES0;FS-1135MFP;1T02ML0NLC;TK-1140;CONSUMIBLES B/N
1102MM33NL0;FS-1061DN;1T02M70NL0;TK-1125;CONSUMIBLES B/N
1102MM33NL0;FS-1061DN;1T02M70NL1;TK-1125;CONSUMIBLES B/N
1102MM33NL0;FS-1061DN;1T02M70NLV;TK-1125;CONSUMIBLES B/N
1102MS3NL0;FS-2100DN;1T02MS0NL0;TK-3100;CONSUMIBLES B/N
1102MS3NL1;ECOSYS FS-2100DN;1T02MS0NL0;TK-3100;CONSUMIBLES B/N
1102MT3NL0;FS-4100DN;1T02MT0NL0;TK-3110;CONSUMIBLES B/N
1102MV3NL0;TASKALFA 2550CI;1T02MV0NL0;TK-8315K;CONSUMIBLES B/N
1102MV3NL0;TASKALFA 2550CI;1T02MVANL0;TK-8315Y;CONSUMIBLES COLOR
1102MV3NL0;TASKALFA 2550CI;1T02MVBNL0;TK-8315M;CONSUMIBLES COLOR
1102MV3NL0;TASKALFA 2550CI;1T02MVCNL0;TK-8315C;CONSUMIBLES COLOR
1102MY3NL1;ECOSYS FS-C8525MFP;1T02K00NL0;TK-895K;CONSUMIBLES B/N
1102MY3NL1;ECOSYS FS-C8525MFP;1T02K0ANL0;TK-895Y;CONSUMIBLES COLOR
1102MY3NL1;ECOSYS FS-C8525MFP;1T02K0BNL0;TK-895M;CONSUMIBLES COLOR
1102MY3NL1;ECOSYS FS-C8525MFP;1T02K0CNL0;TK-895C;CONSUMIBLES COLOR
1102MZ3NL0;FS-C8520MFP;1T02K00NL0;TK-895K;CONSUMIBLES B/N
1102MZ3NL0;FS-C8520MFP;1T02K0ANL0;TK-895Y;CONSUMIBLES COLOR
1102MZ3NL0;FS-C8520MFP;1T02K0BNL0;TK-895M;CONSUMIBLES COLOR
1102MZ3NL0;FS-C8520MFP;1T02K0CNL0;TK-895C;CONSUMIBLES COLOR
1102N23NL0;TASKalfa 7551ci;1T02K90NL0;TK-8705K;CONSUMIBLES B/N
1102N23NL0;TASKalfa 7551ci;1T02K9ANL0;TK-8705Y;CONSUMIBLES COLOR
1102N23NL0;TASKalfa 7551ci;1T02K9BNL0;TK-8705M;CONSUMIBLES COLOR
